text,label
"On day 8 after alloBMT, the patient suddenly manifested high-grade fever, transfusion-resistant severe anemia, and thrombocytopenia.",0
"Similar phenomenon associated with gemcitabine, the only FDA-approved drug for pancreatic cancer, is rarely reported.",0
No renal or cardiac toxicity was observed.,0
The authors report two cases of catechol-O-methyltransferase (COMT) inhibitor-induced asymptomatic hepatic dysfunction in women with Parkinson disease.,0
This paper describes a possible side effect previously unreported--papilledema not associated with peripheral neuropathy.,0
CONCLUSIONS: The piloerection observed after the replacement of fluvoxamine with milnacipran in this patient appears to have been due to an increase in the alpha(1)-adrenoceptor occupancy by endogenous norepinephrine induced by milnacipran.,1
2-CdA typically causes a long-lasting state of immunodeficiency and the profound influence of this drug on the immune system has raised questions concerning the emergence of secondary neoplasms after its use.,1
The patient received hyperbaric oxygen therapy for 1 week.,0
Repeat studies performed 7 months later indicated some improvements in this indirect assessment of endogenous TRH reserve capacity but a continued exaggerated TSH response to exogenous TRH administration.,0
Gangrene of the fingertips after bleomycin and methotrexate.,1
We conclude that the presence of this metabolic defect combined with topical 5-FU (a drug demonstrating a narrow therapeutic index) results in the unusual presentation of life-threatening toxicity after treatment with a topical drug.,1
An infertile patient with amenorrhea-galactorrhea syndrome lost vision during a pregnancy occurring after Bromocryptine treatment.,1
"The clinical relevance of HHV-6 infections in cancer patients undergoing conventional cytotoxic therapy is undetermined, however.",0
"Although calcium deficiency has not been incriminated as a cause of rickets in the past, it is possible that in very tiny premature infants rapid growth requirements lead to a relative calcium deficiency which may be manifested as uncalcified osteoid.",0
We also review the diagnostic and therapeutic implications of this paradoxical complication associated with treatment of bone lesions in MM.,0
A case of brain abscess developing 2 weeks after insertion of skull tongs is reported.,0
Close monitoring for toxicity and dosage manipulations might be required if such therapy is attempted.,0
"Upon withdrawal of ibopamine but continuation of all other drugs, the patient recovered from the blood dyscrasia within 5 days and showed resolution of symptoms.",0
CASE SUMMARY: A febrile 36-year-old seaman from Mumbai (Bombay) was prescribed >5 times the usual dose of chloroquine for malaria diagnosed empirically onboard ship.,0
